date,sales,day_of_week,day_of_year,month,quarter,year,is_weekend,is_holiday_season,sales_lag_1,sales_lag_7,sales_lag_30,rolling_mean_7,rolling_mean_30,rolling_std_7,is_month_start,is_month_end,is_quarter_end,week_of_year
2021-01-31,692.59,6,31,1,1,2021,1,0,735.13,543.06,774.55,927.7242857142857,862.7433333333333,164.61242195504187,0,1,0,4
2021-02-01,1364.72,0,32,2,1,2021,0,0,692.59,978.6,380.81,982.8842857142857,895.5403333333333,234.40066608673436,1,0,0,5
2021-02-02,1088.97,1,33,2,1,2021,0,0,1364.72,1080.47,500.3,984.0985714285714,915.1626666666667,235.01167321564907,0,0,0,5
2021-02-03,936.52,2,34,2,1,2021,0,0,1088.97,894.82,933.28,990.0557142857143,915.2706666666667,232.8903760611519,0,0,0,5
2021-02-04,1222.82,3,35,2,1,2021,0,0,936.52,1127.55,671.47,1003.6657142857142,933.649,244.74662849956633,0,0,0,5
2021-02-05,920.65,4,36,2,1,2021,0,0,1222.82,984.91,973.33,994.4857142857143,931.8929999999999,246.76419181458388,0,0,0,5
2021-02-06,839.51,5,37,2,1,2021,1,0,920.65,735.13,1247.28,1009.3971428571429,918.3006666666666,231.13885752322744,0,0,0,5
2021-02-07,518.71,6,38,2,1,2021,1,0,839.51,692.59,1127.55,984.5571428571428,898.006,275.8740521635604,0,0,0,5
2021-02-08,917.98,0,39,2,1,2021,0,0,518.71,1364.72,644.14,920.737142857143,907.134,219.10299219882006,0,0,0,6
2021-02-09,1151.36,1,40,2,1,2021,0,0,917.98,1088.97,798.16,929.65,918.9073333333333,228.16852762815472,0,0,0,6
2021-02-10,1237.28,2,41,2,1,2021,0,0,1151.36,936.52,949.56,972.6157142857143,928.4979999999999,256.2654592967445,0,0,0,6
2021-02-11,1156.97,3,42,2,1,2021,0,0,1237.28,1222.82,951.6,963.2085714285714,935.3436666666668,246.57546900347913,0,0,0,6
2021-02-12,1118.74,4,43,2,1,2021,0,0,1156.97,920.65,1060.23,991.5071428571429,937.294,252.18045811906765,0,0,0,6
2021-02-13,795.81,5,44,2,1,2021,1,0,1118.74,839.51,739.5,985.2642857142857,939.171,257.0639765283565,0,0,0,6
2021-02-14,624.15,6,45,2,1,2021,1,0,795.81,518.71,770.4,1000.3271428571428,934.296,226.4338484498497,0,0,0,6
2021-02-15,1042.97,0,46,2,1,2021,0,0,624.15,917.98,647.53,1018.1828571428571,947.4773333333334,223.77045602687625,0,0,0,7
